基金代码,基金名称,场内价格,场内涨幅(%),估算净值,估算涨幅(%),溢价率(%),套利信号,状态
009663,华泰紫金创新先锋混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,T-1:1.3118 v_index_blend
025988,鹏华创新未来混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,T-1:1.2031 v_index_blend
160105,南方积极配置混合(LOF),1.2690,0.87%,1.2575,-0.12%,0.92,无明显机会,T-1:1.2590 v_index_blend
160106,南方高增长混合(LOF),1.5020,-1.96%,1.5133,-0.12%,-0.75,无明显机会,T-1:1.5152 v_index_blend
160119,南方中证500ETF联接(LOF)A,2.2140,0.18%,2.2080,0.00%,0.27,无明显机会,T-1:2.2080 v_index_full_no_cash
160120,南方中证500ETF联接(LOF)A(后端),,,,,,,异常: 'NoneTyp
160127,南方新兴消费增长股票(LOF)A,0.8530,1.55%,0.8499,0.00%,0.36,无明显机会,T-1:0.8499 v_top10
160133,南方天元新产业股票(LOF),4.2700,-0.67%,4.2805,-0.12%,-0.25,无明显机会,T-1:4.2858 v_index_blend
160135,南方中证高铁产业指数(LOF),0.9580,-0.73%,0.9695,-0.13%,-1.19,折价买入(转场内赎回),T-1:0.9708 v_index_full_no_cash
160137,南方中证互联网指数(LOF)A,1.0000,0.00%,1.8969,-0.13%,-47.28,折价买入(转场内赎回),T-1:1.8994 v_index_full_no_cash
160142,南方优势产业(LOF),1.0720,-2.10%,1.0645,-0.12%,0.71,无明显机会,T-1:1.0658 v_index_blend
160211,国泰中小盘成长混合(LOF),2.7170,-1.45%,2.6807,-0.12%,1.35,溢价卖出(申购转场内),T-1:2.6840 v_index_blend
160212,国泰估值优势混合(LOF)A,3.5470,1.75%,3.5494,-0.12%,-0.07,无明显机会,T-1:3.5538 v_index_blend
160215,国泰价值经典混合(LOF),3.8420,-1.49%,3.8153,-0.12%,0.70,无明显机会,T-1:3.8200 v_index_blend
160220,国泰民益混合(LOF)A,4.8250,-3.00%,4.8264,-0.12%,-0.03,无明显机会,T-1:4.8323 v_index_blend
160221,国泰国证有色金属行业指数(LOF)A,2.1520,3.71%,2.0724,-0.13%,3.84,溢价卖出(申购转场内),T-1:2.0751 v_index_full_no_cash
160222,国泰国证食品饮料行业(LOF)A,0.6600,0.15%,0.6667,-0.13%,-1.01,折价买入(转场内赎回),T-1:0.6676 v_index_full_no_cash
160223,国泰创业板指数(LOF)A,2.0170,-0.74%,2.0447,-0.13%,-1.36,折价买入(转场内赎回),T-1:2.0474 v_index_full_no_cash
160311,华夏蓝筹混合(LOF)A,1.4020,-2.16%,1.4203,-0.12%,-1.29,折价买入(转场内赎回),T-1:1.4220 v_index_blend
160314,华夏行业混合(LOF),1.3150,-9.19%,1.3154,-0.12%,-0.03,无明显机会,T-1:1.3170 v_index_blend
160322,华夏港股通精选股票发起式(LOF)A,1.0940,0.00%,1.1002,0.00%,-0.56,无明显机会,T-1:1.1002 v_top10
160323,华夏磐泰混合(LOF)A,1.7280,-0.40%,1.7299,0.00%,-0.11,无明显机会,T-1:1.7299 v_top10
160324,华夏磐晟混合(LOF),3.3000,3.25%,3.1974,-0.12%,3.21,溢价卖出(申购转场内),T-1:3.2013 v_index_blend
160416,华安标普全球石油指数(LOF)A,2.0930,1.90%,2.0665,-0.13%,1.28,溢价卖出(申购转场内),T-1:2.0692 v_index_full_no_cash
