=== 基金 160223 方法 v_index_full_no_cash 回测 2026-04-25~2026-07-06 ===
{
  "n": 46,
  "MAE_pp": 0.1089,
  "RMSE_pp": 0.1328,
  "MEAN_pp": 0.0046,
  "MAX_pp": 0.3638,
  "MEDIAN_pp": 0.09,
  "days_over_0.5pp": 0,
  "over_threshold_ratio": 0.0
}

每日明细:
  date            est_pct    act_pct    abs_err
  2026-04-28    -1.427%    -1.350%     0.077  
  2026-04-29    +2.515%    +2.390%     0.125  
  2026-04-30    -0.272%    -0.190%     0.082  
  2026-05-06    +2.747%    +2.580%     0.167  
  2026-05-07    +1.453%    +1.380%     0.073  
  2026-05-08    -0.963%    -0.910%     0.053  
  2026-05-11    +3.499%    +3.320%     0.179  
  2026-05-12    +0.150%    +0.160%     0.010  
  2026-05-13    +2.629%    +2.490%     0.139  
  2026-05-14    -2.159%    -2.050%     0.109  
  2026-05-15    -0.559%    -0.500%     0.059  
  2026-05-18    -0.361%    -0.310%     0.051  
  2026-05-19    -0.164%    -0.140%     0.024  
  2026-05-20    +0.342%    +0.310%     0.032  
  2026-05-21    -2.346%    -2.180%     0.166  
  2026-05-22    +2.839%    +2.590%     0.249  
  2026-05-25    +2.099%    +1.930%     0.169  
  2026-05-26    +0.545%    +0.520%     0.025  
  2026-05-27    +0.067%    +0.080%     0.013  
  2026-05-28    +1.960%    +1.840%     0.120  
  2026-05-29    -2.112%    -2.020%     0.092  
  2026-06-01    -2.155%    -2.040%     0.115  
  2026-06-02    +2.656%    +2.620%     0.036  
  2026-06-03    +1.655%    +1.660%     0.005  
  2026-06-04    -0.827%    -0.780%     0.047  
  2026-06-05    -3.203%    -3.040%     0.163  
  2026-06-08    -3.693%    -3.520%     0.173  
  2026-06-09    +3.934%    +3.800%     0.134  
  2026-06-10    -2.700%    -2.540%     0.160  
  2026-06-11    -1.130%    -1.050%     0.080  
  2026-06-12    +0.501%    +0.420%     0.081  
  2026-06-15    +5.304%    +5.030%     0.275  
  2026-06-16    +1.721%    +1.650%     0.071  
  2026-06-17    +1.562%    +1.510%     0.052  
  2026-06-18    +2.048%    +1.960%     0.088  
  2026-06-22    +2.516%    +2.440%     0.076  
  2026-06-23    -3.835%    -3.720%     0.115  
  2026-06-24    +1.413%    +1.330%     0.083  
  2026-06-25    +2.836%    +2.660%     0.176  
  2026-06-26    -4.066%    -3.820%     0.246  
  2026-06-29    +0.536%    +0.500%     0.036  
  2026-06-30    +2.988%    +2.780%     0.208  
  2026-07-01    -1.888%    -1.790%     0.098  
  2026-07-02    -5.714%    -5.350%     0.364  
  2026-07-03    +0.066%    +0.050%     0.016  
  2026-07-06    -1.768%    -1.670%     0.098  

落盘 → /run/csi/mount-root/nas/eab0d61a99b6696edb3d2aff87b585e8/code/fund_estimator/.cache/backtest_160223_v_index_full_no_cash_2026-04-25_2026-07-06.csv
