date,estimated_pct,actual_pct,abs_error_pp,rel_error_pp
2026-06-09,3.1543,3.8,0.6457,-0.6457
2026-06-10,-2.7306,-2.54,0.1906,-0.1906
2026-06-11,-3.3249,-1.05,2.2749,-2.2749
2026-06-12,0.0986,0.42,0.3214,-0.3214
2026-06-15,4.0768,5.03,0.9532,-0.9532
2026-06-16,1.3501,1.65,0.2999,-0.2999
2026-06-17,0.5939,1.51,0.9161,-0.9161
2026-06-18,1.2517,1.96,0.7083,-0.7083
2026-06-22,2.6997,2.44,0.2597,0.2597
2026-06-23,-3.9644,-3.72,0.2444,-0.2444
2026-06-24,0.6281,1.33,0.7019,-0.7019
2026-06-25,2.5085,2.66,0.1515,-0.1515
2026-06-26,-4.5014,-3.82,0.6814,-0.6814
2026-06-29,0.4143,0.5,0.0857,-0.0857
2026-06-30,2.6305,2.78,0.1495,-0.1495
2026-07-01,-2.373,-1.79,0.583,-0.583
2026-07-02,-4.8293,-5.35,0.5207,0.5207
2026-07-03,-0.0033,0.05,0.0533,-0.0533
2026-07-06,-1.6982,-1.67,0.0282,-0.0282
