date,estimated_pct,actual_pct,abs_error_pp,rel_error_pp
2026-06-09,3.8342,3.8,0.0342,0.0342
2026-06-10,-2.7997,-2.54,0.2597,-0.2597
2026-06-11,-1.2297,-1.05,0.1797,-0.1797
2026-06-12,0.4013,0.42,0.0187,-0.0187
2026-06-15,5.2045,5.03,0.1745,0.1745
2026-06-16,1.6207,1.65,0.0293,-0.0293
2026-06-17,1.4624,1.51,0.0476,-0.0476
2026-06-18,1.948,1.96,0.012,-0.012
2026-06-22,2.4163,2.44,0.0237,-0.0237
2026-06-23,-3.9354,-3.72,0.2154,-0.2154
2026-06-24,1.3129,1.33,0.0171,-0.0171
2026-06-25,2.7359,2.66,0.0759,0.0759
2026-06-26,-4.1663,-3.82,0.3463,-0.3463
2026-06-29,0.4362,0.5,0.0638,-0.0638
2026-06-30,2.8884,2.78,0.1084,0.1084
2026-07-01,-1.988,-1.79,0.198,-0.198
2026-07-02,-5.8138,-5.35,0.4638,-0.4638
2026-07-03,-0.0338,0.05,0.0838,-0.0838
2026-07-06,-1.868,-1.67,0.198,-0.198
