date,estimated_pct,actual_pct,abs_error_pp,rel_error_pp
2026-04-28,-1.4272,-1.35,0.0772,-0.0772
2026-04-29,2.515,2.39,0.125,0.125
2026-04-30,-0.2718,-0.19,0.0818,-0.0818
2026-05-06,2.747,2.58,0.167,0.167
2026-05-07,1.453,1.38,0.073,0.073
2026-05-08,-0.9634,-0.91,0.0534,-0.0534
2026-05-11,3.4995,3.32,0.1795,0.1795
2026-05-12,0.1504,0.16,0.0096,-0.0096
2026-05-13,2.6291,2.49,0.1391,0.1391
2026-05-14,-2.1591,-2.05,0.1091,-0.1091
2026-05-15,-0.5587,-0.5,0.0587,-0.0587
2026-05-18,-0.3611,-0.31,0.0511,-0.0511
2026-05-19,-0.1644,-0.14,0.0244,-0.0244
2026-05-20,0.3416,0.31,0.0316,0.0316
2026-05-21,-2.3461,-2.18,0.1661,-0.1661
2026-05-22,2.8389,2.59,0.2489,0.2489
2026-05-25,2.0987,1.93,0.1687,0.1687
2026-05-26,0.5448,0.52,0.0248,0.0248
2026-05-27,0.067,0.08,0.013,-0.013
2026-05-28,1.9601,1.84,0.1201,0.1201
2026-05-29,-2.1121,-2.02,0.0921,-0.0921
2026-06-01,-2.1548,-2.04,0.1148,-0.1148
2026-06-02,2.6558,2.62,0.0358,0.0358
2026-06-03,1.6548,1.66,0.0052,-0.0052
2026-06-04,-0.8271,-0.78,0.0471,-0.0471
2026-06-05,-3.2026,-3.04,0.1626,-0.1626
2026-06-08,-3.6926,-3.52,0.1726,-0.1726
2026-06-09,3.9342,3.8,0.1342,0.1342
2026-06-10,-2.6997,-2.54,0.1597,-0.1597
2026-06-11,-1.1297,-1.05,0.0797,-0.0797
2026-06-12,0.5013,0.42,0.0813,0.0813
2026-06-15,5.3045,5.03,0.2745,0.2745
2026-06-16,1.7207,1.65,0.0707,0.0707
2026-06-17,1.5624,1.51,0.0524,0.0524
2026-06-18,2.048,1.96,0.088,0.088
2026-06-22,2.5163,2.44,0.0763,0.0763
2026-06-23,-3.8354,-3.72,0.1154,-0.1154
2026-06-24,1.4129,1.33,0.0829,0.0829
2026-06-25,2.8359,2.66,0.1759,0.1759
2026-06-26,-4.0663,-3.82,0.2463,-0.2463
2026-06-29,0.5362,0.5,0.0362,0.0362
2026-06-30,2.9884,2.78,0.2084,0.2084
2026-07-01,-1.888,-1.79,0.098,-0.098
2026-07-02,-5.7138,-5.35,0.3638,-0.3638
2026-07-03,0.0662,0.05,0.0162,0.0162
2026-07-06,-1.768,-1.67,0.098,-0.098
