date,estimated_pct,actual_pct,abs_error_pp,rel_error_pp
2026-06-09,1.6184,3.8,2.1816,-2.1816
2026-06-10,-1.5081,-2.54,1.0319,1.0319
2026-06-11,-2.7551,-1.05,1.7051,-1.7051
2026-06-12,-0.0099,0.42,0.4299,-0.4299
2026-06-15,1.9712,5.03,3.0588,-3.0588
2026-06-16,0.7346,1.65,0.9154,-0.9154
2026-06-17,0.0442,1.51,1.4658,-1.4658
2026-06-18,0.5001,1.96,1.4599,-1.4599
2026-06-22,1.7534,2.44,0.6866,-0.6866
2026-06-23,-2.2696,-3.72,1.4504,1.4504
2026-06-24,0.1406,1.33,1.1894,-1.1894
2026-06-25,1.4293,2.66,1.2307,-1.2307
2026-06-26,-2.7106,-3.82,1.1094,1.1094
2026-06-29,0.2913,0.5,0.2087,-0.2087
2026-06-30,1.4879,2.78,1.2921,-1.2921
2026-07-01,-1.4879,-1.79,0.3021,0.3021
2026-07-02,-2.3535,-5.35,2.9965,2.9965
2026-07-03,0.0691,0.05,0.0191,0.0191
2026-07-06,-0.863,-1.67,0.807,0.807
