date,t1_date,t1_nav,estimated_nav,official_nav,estimated_change_pct,official_change_pct,error_pp,over_threshold
2026-06-02,2026-06-01,2.1819,2.239846,2.239,2.6558,2.617,0.0388,0
2026-06-03,2026-06-02,2.239,2.276051,2.2762,1.6548,1.6615,-0.0067,0
2026-06-04,2026-06-03,2.2762,2.257373,2.2584,-0.8271,-0.782,-0.0451,0
2026-06-05,2026-06-04,2.2584,2.186073,2.1898,-3.2026,-3.0375,-0.165,0
2026-06-08,2026-06-05,2.1898,2.10894,2.1128,-3.6926,-3.5163,-0.1763,0
2026-06-09,2026-06-08,2.1128,2.195922,2.193,3.9342,3.7959,0.1383,0
2026-06-10,2026-06-09,2.193,2.133795,2.1373,-2.6997,-2.5399,-0.1598,0
2026-06-11,2026-06-10,2.1373,2.113155,2.1148,-1.1297,-1.0527,-0.077,0
2026-06-12,2026-06-11,2.1148,2.125402,2.1236,0.5013,0.4161,0.0852,0
2026-06-15,2026-06-12,2.1236,2.236247,2.2304,5.3045,5.0292,0.2753,0
2026-06-16,2026-06-15,2.2304,2.26878,2.2673,1.7207,1.6544,0.0664,0
2026-06-17,2026-06-16,2.2673,2.302725,2.3015,1.5624,1.5084,0.054,0
2026-06-18,2026-06-17,2.3015,2.348635,2.3467,2.048,1.9639,0.0841,0
2026-06-22,2026-06-18,2.3467,2.40575,2.404,2.5163,2.4417,0.0746,0
2026-06-23,2026-06-22,2.404,2.311798,2.3146,-3.8354,-3.7188,-0.1166,0
2026-06-24,2026-06-23,2.3146,2.347302,2.3454,1.4129,1.3307,0.0822,0
2026-06-25,2026-06-24,2.3454,2.411913,2.4078,2.8359,2.6605,0.1754,0
2026-06-26,2026-06-25,2.4078,2.309891,2.3158,-4.0663,-3.8209,-0.2454,0
2026-06-29,2026-06-26,2.3158,2.328218,2.3273,0.5362,0.4966,0.0396,0
2026-06-30,2026-06-29,2.3273,2.39685,2.392,2.9884,2.78,0.2084,0
2026-07-01,2026-06-30,2.392,2.346839,2.3493,-1.888,-1.7851,-0.1029,0
2026-07-02,2026-07-01,2.3493,2.215066,2.2236,-5.7138,-5.3505,-0.3633,0
2026-07-03,2026-07-02,2.2236,2.225073,2.2247,0.0662,0.0495,0.0168,0
2026-07-06,2026-07-03,2.2247,2.185366,2.1875,-1.768,-1.6721,-0.0959,0
2026-07-07,2026-07-06,2.1875,2.16703,2.1679,-0.9358,-0.896,-0.0398,0
2026-07-08,2026-07-07,2.1679,2.131016,2.1334,-1.7014,-1.5914,-0.11,0
2026-07-09,2026-07-08,2.1334,2.229282,2.2228,4.4943,4.1905,0.3038,0
2026-07-10,2026-07-09,2.2228,2.125747,2.1318,-4.3662,-4.0939,-0.2723,0
2026-07-13,2026-07-10,2.1318,2.065665,2.068,-3.1023,-2.9928,-0.1095,0
2026-07-14,2026-07-13,2.068,2.138879,2.1343,3.4274,3.206,0.2214,0
