fund_code,t1_date,t1_nav,estimated_nav,estimated_change_pct,method,official_nav,official_change_pct,trade_date,abs_error_pp,abs_error_ppct,rel_error_ppct
160223,2026-04-24,2.033,2.022470238577234,-0.5179,v_index_full_no_cash,2.023,-0.49,2026-04-27,0.0005,0.026,-0.026
160223,2026-04-27,2.023,1.9941274680798118,-1.4272,v_index_full_no_cash,1.9956,-1.35,2026-04-28,0.0015,0.0728,-0.0728
160223,2026-04-28,1.9956,2.045788614934974,2.515,v_index_full_no_cash,2.0432,2.39,2026-04-29,0.0026,0.1298,0.1298
160223,2026-04-29,2.0432,2.0376475369714644,-0.2718,v_index_full_no_cash,2.0393,-0.19,2026-04-30,0.0017,0.0809,-0.0809
160223,2026-04-30,2.0393,2.0953194292696407,2.747,v_index_full_no_cash,2.0919,2.58,2026-05-06,0.0034,0.1677,0.1677
160223,2026-05-06,2.0919,2.1222960543216947,1.453,v_index_full_no_cash,2.1207,1.38,2026-05-07,0.0016,0.0763,0.0763
160223,2026-05-07,2.1207,2.1002684409858765,-0.9634,v_index_full_no_cash,2.1015,-0.91,2026-05-08,0.0012,0.058,-0.058
160223,2026-05-08,2.1015,2.1750422696494955,3.4995,v_index_full_no_cash,2.1713,3.32,2026-05-11,0.0037,0.1781,0.1781
160223,2026-05-11,2.1713,2.174564984802648,0.1504,v_index_full_no_cash,2.1748,0.16,2026-05-12,0.0002,0.0108,-0.0108
160223,2026-05-12,2.1748,2.2319771236850303,2.6291,v_index_full_no_cash,2.2289,2.49,2026-05-13,0.0031,0.1415,0.1415
160223,2026-05-13,2.2289,2.1807750737742526,-2.1591,v_index_full_no_cash,2.1833,-2.05,2026-05-14,0.0025,0.1132,-0.1132
160223,2026-05-14,2.1833,2.171101360923683,-0.5587,v_index_full_no_cash,2.1724,-0.5,2026-05-15,0.0013,0.0595,-0.0595
160223,2026-05-15,2.1724,2.164554827816498,-0.3611,v_index_full_no_cash,2.1656,-0.31,2026-05-18,0.001,0.0481,-0.0481
160223,2026-05-18,2.1656,2.162039230575689,-0.1644,v_index_full_no_cash,2.1625,-0.14,2026-05-19,0.0005,0.0213,-0.0213
