method,date,t1_nav,estimated_nav,official_nav,estimated_change_pct,official_change_pct,error_pp,over_threshold
v_top10,2026-04-28,2.023,2.004438,1.9956,-0.9175,-1.3544,0.4369,0
v_top10,2026-04-29,1.9956,2.031818,2.0432,1.8149,2.3852,-0.5704,1
v_top10,2026-04-30,2.0432,2.034976,2.0393,-0.4025,-0.1909,-0.2116,0
v_top10,2026-05-06,2.0393,2.066662,2.0919,1.3417,2.5793,-1.2376,1
v_top10,2026-05-07,2.0919,2.106065,2.1207,0.6771,1.3767,-0.6996,1
v_top10,2026-05-08,2.1207,2.108464,2.1015,-0.577,-0.9054,0.3284,0
v_top10,2026-05-11,2.1015,2.135415,2.1713,1.6139,3.3214,-1.7076,1
v_top10,2026-05-12,2.1713,2.176746,2.1748,0.2508,0.1612,0.0896,0
v_top10,2026-05-13,2.1748,2.200795,2.2289,1.1953,2.4876,-1.2923,1
v_top10,2026-05-14,2.2289,2.210134,2.1833,-0.8419,-2.0459,1.2039,1
v_top10,2026-05-15,2.1833,2.183098,2.1724,-0.0092,-0.4992,0.49,0
v_top10,2026-05-18,2.1724,2.160162,2.1656,-0.5633,-0.313,-0.2503,0
v_top10,2026-05-19,2.1656,2.155917,2.1625,-0.4471,-0.1431,-0.304,0
v_top10,2026-05-20,2.1625,2.166155,2.1692,0.169,0.3098,-0.1408,0
v_top10,2026-05-21,2.1692,2.150567,2.1219,-0.859,-2.1805,1.3215,1
v_top10,2026-05-22,2.1219,2.149416,2.1768,1.2968,2.5873,-1.2905,1
v_top10,2026-05-25,2.1768,2.200403,2.2189,1.0843,1.934,-0.8497,1
v_top10,2026-05-26,2.2189,2.241058,2.2304,0.9986,0.5183,0.4803,0
v_top10,2026-05-27,2.2304,2.242092,2.2322,0.5242,0.0807,0.4435,0
v_top10,2026-05-28,2.2322,2.253863,2.2733,0.9705,1.8412,-0.8708,1
v_top10,2026-05-29,2.2733,2.265848,2.2273,-0.3278,-2.0235,1.6957,1
v_top10,2026-06-01,2.2273,2.201545,2.1819,-1.1563,-2.0383,0.882,1
v_top10,2026-06-02,2.1819,2.224082,2.239,1.9333,2.617,-0.6837,1
v_top10,2026-06-03,2.239,2.256231,2.2762,0.7696,1.6615,-0.8919,1
v_top10,2026-06-04,2.2762,2.251439,2.2584,-1.0878,-0.782,-0.3058,0
v_top10,2026-06-05,2.2584,2.218963,2.1898,-1.7462,-3.0375,1.2913,1
v_top10,2026-06-08,2.1898,2.153595,2.1128,-1.6534,-3.5163,1.863,1
v_top10,2026-06-09,2.1128,2.147017,2.193,1.6195,3.7959,-2.1764,1
v_top10,2026-06-10,2.193,2.159806,2.1373,-1.5137,-2.5399,1.0263,1
v_top10,2026-06-11,2.1373,2.078402,2.1148,-2.7557,-1.0527,-1.703,1
v_top10,2026-06-12,2.1148,2.114616,2.1236,-0.0087,0.4161,-0.4248,0
v_top10,2026-06-15,2.1236,2.165516,2.2304,1.9738,5.0292,-3.0554,1
v_top10,2026-06-16,2.2304,2.246843,2.2673,0.7372,1.6544,-0.9172,1
v_top10,2026-06-17,2.2673,2.268346,2.3015,0.0462,1.5084,-1.4623,1
v_top10,2026-06-18,2.3015,2.313035,2.3467,0.5012,1.9639,-1.4627,1
v_top10,2026-06-22,2.3467,2.38784,2.404,1.7531,2.4417,-0.6886,1
v_top10,2026-06-23,2.404,2.349361,2.3146,-2.2728,-3.7188,1.446,1
v_top10,2026-06-24,2.3146,2.317852,2.3454,0.1405,1.3307,-1.1902,1
v_top10,2026-06-25,2.3454,2.378883,2.4078,1.4276,2.6605,-1.2329,1
v_top10,2026-06-26,2.4078,2.342446,2.3158,-2.7143,-3.8209,1.1067,1
v_top10,2026-06-29,2.3158,2.32255,2.3273,0.2915,0.4966,-0.2051,0
v_top10,2026-06-30,2.3273,2.362023,2.392,1.492,2.78,-1.2881,1
v_top10,2026-07-01,2.392,2.35642,2.3493,-1.4875,-1.7851,0.2977,0
v_top10,2026-07-02,2.3493,2.294034,2.2236,-2.3525,-5.3505,2.9981,1
v_top10,2026-07-03,2.2236,2.225146,2.2247,0.0695,0.0495,0.0201,0
v_top10,2026-07-06,2.2247,2.205422,2.1875,-0.8666,-1.6721,0.8056,1
v_top10,2026-07-07,2.1875,2.183183,2.1679,-0.1974,-0.896,0.6987,1
v_top10,2026-07-08,2.1679,2.149665,2.1334,-0.8412,-1.5914,0.7503,1
v_top10,2026-07-09,2.1334,2.182518,2.2228,2.3023,4.1905,-1.8882,1
v_top10,2026-07-10,2.2228,2.15771,2.1318,-2.9283,-4.0939,1.1656,1
v_top10,2026-07-13,2.1318,2.131868,2.068,0.0032,-2.9928,2.996,1
v_top10,2026-07-14,2.068,2.106325,2.1343,1.8532,3.206,-1.3528,1
v_index_full,2026-04-28,2.023,1.992104,1.9956,-1.5272,-1.3544,-0.1728,0
v_index_full,2026-04-29,1.9956,2.043793,2.0432,2.415,2.3852,0.0297,0
v_index_full,2026-04-30,2.0432,2.035604,2.0393,-0.3718,-0.1909,-0.1809,0
v_index_full,2026-05-06,2.0393,2.09328,2.0919,2.647,2.5793,0.0677,0
v_index_full,2026-05-07,2.0919,2.120204,2.1207,1.353,1.3767,-0.0237,0
v_index_full,2026-05-08,2.1207,2.098148,2.1015,-1.0634,-0.9054,-0.1581,0
v_index_full,2026-05-11,2.1015,2.172941,2.1713,3.3995,3.3214,0.0781,0
v_index_full,2026-05-12,2.1713,2.172394,2.1748,0.0504,0.1612,-0.1108,0
v_index_full,2026-05-13,2.1748,2.229802,2.2289,2.5291,2.4876,0.0415,0
v_index_full,2026-05-14,2.2289,2.178546,2.1833,-2.2591,-2.0459,-0.2133,0
v_index_full,2026-05-15,2.1833,2.168918,2.1724,-0.6587,-0.4992,-0.1595,0
v_index_full,2026-05-18,2.1724,2.162382,2.1656,-0.4611,-0.313,-0.1481,0
v_index_full,2026-05-19,2.1656,2.159874,2.1625,-0.2644,-0.1431,-0.1213,0
v_index_full,2026-05-20,2.1625,2.167724,2.1692,0.2416,0.3098,-0.0683,0
v_index_full,2026-05-21,2.1692,2.116139,2.1219,-2.4461,-2.1805,-0.2656,0
v_index_full,2026-05-22,2.1219,2.180016,2.1768,2.7389,2.5873,0.1516,0
v_index_full,2026-05-25,2.1768,2.220308,2.2189,1.9987,1.934,0.0647,0
v_index_full,2026-05-26,2.2189,2.228769,2.2304,0.4448,0.5183,-0.0735,0
v_index_full,2026-05-27,2.2304,2.229663,2.2322,-0.033,0.0807,-0.1137,0
v_index_full,2026-05-28,2.2322,2.273722,2.2733,1.8601,1.8412,0.0189,0
v_index_full,2026-05-29,2.2733,2.223013,2.2273,-2.2121,-2.0235,-0.1886,0
v_index_full,2026-06-01,2.2273,2.17708,2.1819,-2.2548,-2.0383,-0.2164,0
v_index_full,2026-06-02,2.1819,2.237664,2.239,2.5558,2.617,-0.0612,0
v_index_full,2026-06-03,2.239,2.273812,2.2762,1.5548,1.6615,-0.1067,0
v_index_full,2026-06-04,2.2762,2.255096,2.2584,-0.9271,-0.782,-0.1452,0
v_index_full,2026-06-05,2.2584,2.183815,2.1898,-3.3026,-3.0375,-0.265,0
v_index_full,2026-06-08,2.1898,2.10675,2.1128,-3.7926,-3.5163,-0.2763,0
v_index_full,2026-06-09,2.1128,2.193809,2.193,3.8342,3.7959,0.0383,0
v_index_full,2026-06-10,2.193,2.131602,2.1373,-2.7997,-2.5399,-0.2598,0
v_index_full,2026-06-11,2.1373,2.111018,2.1148,-1.2297,-1.0527,-0.177,0
v_index_full,2026-06-12,2.1148,2.123287,2.1236,0.4013,0.4161,-0.0148,0
v_index_full,2026-06-15,2.1236,2.234123,2.2304,5.2045,5.0292,0.1753,0
v_index_full,2026-06-16,2.2304,2.266549,2.2673,1.6207,1.6544,-0.0337,0
v_index_full,2026-06-17,2.2673,2.300458,2.3015,1.4624,1.5084,-0.046,0
v_index_full,2026-06-18,2.3015,2.346334,2.3467,1.948,1.9639,-0.0159,0
v_index_full,2026-06-22,2.3467,2.403403,2.404,2.4163,2.4417,-0.0254,0
v_index_full,2026-06-23,2.404,2.309394,2.3146,-3.9354,-3.7188,-0.2166,0
v_index_full,2026-06-24,2.3146,2.344988,2.3454,1.3129,1.3307,-0.0178,0
v_index_full,2026-06-25,2.3454,2.409567,2.4078,2.7359,2.6605,0.0753,0
v_index_full,2026-06-26,2.4078,2.307483,2.3158,-4.1663,-3.8209,-0.3454,0
v_index_full,2026-06-29,2.3158,2.325902,2.3273,0.4362,0.4966,-0.0604,0
v_index_full,2026-06-30,2.3273,2.394522,2.392,2.8884,2.78,0.1084,0
v_index_full,2026-07-01,2.392,2.344447,2.3493,-1.988,-1.7851,-0.2029,0
v_index_full,2026-07-02,2.3493,2.212717,2.2236,-5.8138,-5.3505,-0.4632,0
v_index_full,2026-07-03,2.2236,2.222849,2.2247,-0.0338,0.0495,-0.0832,0
v_index_full,2026-07-06,2.2247,2.183142,2.1875,-1.868,-1.6721,-0.1959,0
