stock_code,stock_name,weight_pct,market,report_date
603259,药明康德,11.03,sh,2026-06-30
600276,恒瑞医药,9.64,sh,2026-06-30
300760,迈瑞医疗,8.09,sz,2026-06-30
002821,凯莱英,4.16,sz,2026-06-30
300759,康龙化成,3.37,sz,2026-06-30
688235,百济神州,3.3,sh,2026-06-30
600196,复星医药,3.22,sh,2026-06-30
688331,荣昌生物,2.98,sh,2026-06-30
300347,泰格医药,2.79,sz,2026-06-30
688266,泽璟制药,2.78,sh,2026-06-30
301666,大普微,0.03,sz,2026-06-30
688820,盛合晶微,0.02,sh,2026-06-30
001399,惠科股份,0.01,sz,2026-06-30
688818,电科蓝天,0.01,sh,2026-06-30
301682,宏明电子,0.01,sz,2026-06-30
603259,药明康德,11.12,sh,2026-06-30
600276,恒瑞医药,9.17,sh,2026-06-30
300760,迈瑞医疗,8.54,sz,2026-06-30
600196,复星医药,3.81,sh,2026-06-30
002252,上海莱士,3.35,sz,2026-06-30
300759,康龙化成,3.25,sz,2026-06-30
300347,泰格医药,3.13,sz,2026-06-30
000661,长春高新,3.04,sz,2026-06-30
688235,百济神州,3.02,sh,2026-06-30
603087,甘李药业,2.58,sh,2026-06-30
301683,慧谷新材,0.0,sz,2026-06-30
688818,电科蓝天,0.0,sh,2026-06-30
301682,宏明电子,0.0,sz,2026-06-30
603459,红板科技,0.0,sh,2026-06-30
301696,三瑞智能,0.0,sz,2026-06-30
