date,open,high,low,close,volume
2022-05-09,8.65,8.87,8.61,8.74,28589900.0
2022-05-10,8.65,9.02,8.46,8.95,48647008.0
2022-05-11,8.97,9.29,8.85,9.06,71220815.0
2022-05-12,9.0,9.09,8.81,8.87,38319822.0
2022-05-13,8.96,9.09,8.92,9.01,27673578.0
2022-05-16,9.09,9.5,9.03,9.47,67170054.0
2022-05-17,9.39,9.46,9.18,9.38,41152328.0
2022-05-18,9.38,9.71,9.26,9.5,65809179.0
2022-05-19,9.36,9.4,9.2,9.38,39655228.0
2022-05-20,9.33,9.58,9.3,9.57,45720982.0
2022-05-23,9.58,9.58,9.32,9.44,34377638.0
2022-05-24,9.4,9.45,8.89,8.9,47785559.0
2022-05-25,8.9,9.02,8.79,8.95,31945229.0
2022-05-26,8.97,9.44,8.96,9.4,63510724.0
2022-05-27,9.4,9.49,9.26,9.32,35488211.0
2022-05-30,9.31,9.44,9.25,9.38,35433534.0
2022-05-31,9.37,9.52,9.27,9.43,53957139.0
2022-06-01,9.37,9.52,9.23,9.37,54987464.0
2022-06-02,9.39,9.88,9.25,9.83,97034719.0
2022-06-06,9.66,10.05,9.66,9.91,92835738.0
2022-06-07,9.88,10.05,9.76,9.95,53439581.0
2022-06-08,9.96,10.15,9.84,10.14,58665688.0
2022-06-09,10.14,10.36,10.0,10.12,54634185.0
2022-06-10,10.06,10.43,9.95,10.22,107630206.0
2022-06-13,9.86,10.22,9.81,10.0,63768882.0
2022-06-14,9.95,10.46,9.65,10.36,90509923.0
2022-06-15,10.32,10.54,10.2,10.22,73137767.0
2022-06-16,10.17,10.44,9.92,10.0,51890043.0
2022-06-17,9.93,10.04,9.8,10.01,44070184.0
2022-06-20,9.98,9.98,9.51,9.68,79743053.0
2022-06-21,9.68,9.85,9.5,9.58,41979273.0
2022-06-22,9.64,9.69,9.35,9.35,39051633.0
2022-06-23,9.34,9.61,9.14,9.6,50556168.0
2022-06-24,9.57,9.58,9.21,9.36,69802866.0
2022-06-27,9.38,9.84,9.34,9.67,68106424.0
2022-06-28,9.67,9.67,9.4,9.55,46137996.0
2022-06-29,9.5,9.62,9.43,9.47,42274274.0
2022-06-30,9.47,9.56,9.37,9.41,36942063.0
2022-07-01,9.42,9.83,9.32,9.63,78373042.0
2022-07-04,9.5,9.75,9.43,9.7,67012321.0
2022-07-05,9.7,10.12,9.66,10.07,95586414.0
2022-07-06,10.03,10.5,10.03,10.29,111831963.0
2022-07-07,10.34,10.4,10.14,10.34,51933298.0
2022-07-08,10.37,10.48,10.15,10.2,44744004.0
2022-07-11,10.23,10.42,10.18,10.29,59688749.0
2022-07-12,10.28,10.31,9.97,10.09,46311239.0
2022-07-13,10.16,10.28,9.9,10.08,47283557.0
2022-07-14,10.12,10.56,10.01,10.42,62937703.0
2022-07-15,10.37,10.47,9.82,9.94,75280617.0
2022-07-18,9.89,10.0,9.63,9.83,47369800.0
2022-07-19,9.83,10.13,9.79,9.99,45553252.0
2022-07-20,10.05,10.49,9.9,10.4,67904138.0
2022-07-21,10.61,10.91,10.32,10.39,98389480.0
2022-07-22,10.39,10.81,10.2,10.71,87638075.0
2022-07-25,10.69,10.94,10.33,10.36,70221321.0
2022-07-26,10.42,10.47,10.13,10.44,38116772.0
