date,open,high,low,close,volume
2026-05-29,2.565,2.567,2.536,2.541,59398.0
2026-06-01,2.516,2.554,2.515,2.547,29326.0
2026-06-02,2.522,2.547,2.496,2.534,57666.0
2026-06-03,2.539,2.558,2.517,2.525,108451.0
2026-06-04,2.55,2.567,2.524,2.525,33422.0
2026-06-05,2.525,2.564,2.503,2.503,139852.0
2026-06-08,2.478,2.493,2.448,2.448,19000.0
2026-06-09,2.436,2.482,2.434,2.463,32833.0
2026-06-10,2.438,2.438,2.415,2.415,117795.0
2026-06-11,2.42,2.42,2.383,2.39,39794.0
2026-06-12,2.414,2.461,2.401,2.44,34656.0
2026-06-15,2.464,2.481,2.455,2.48,73339.0
2026-06-16,2.455,2.474,2.452,2.453,6700.0
2026-06-17,2.464,2.464,2.428,2.45,8478.0
2026-06-18,2.465,2.475,2.436,2.44,60187.0
2026-06-22,2.455,2.489,2.438,2.489,44611.0
2026-06-23,2.464,2.489,2.408,2.408,74000.0
2026-06-24,2.401,2.432,2.401,2.402,3900.0
2026-06-25,2.401,2.426,2.396,2.402,22441.0
2026-06-26,2.381,2.404,2.336,2.379,18531.0
2026-06-29,2.34,2.379,2.335,2.379,15605.0
2026-06-30,2.358,2.401,2.358,2.401,36267.0
2026-07-01,2.403,2.45,2.397,2.415,32820.0
2026-07-02,2.415,2.469,2.392,2.392,52932.0
2026-07-03,2.416,2.464,2.399,2.431,37334.0
2026-07-06,2.455,2.455,2.426,2.426,503.0
2026-07-07,2.402,2.402,2.383,2.383,496.0
2026-07-08,2.359,2.378,2.34,2.378,2040.0
2026-07-09,2.354,2.374,2.329,2.374,6334.0
2026-07-10,2.35,2.398,2.316,2.398,18078.0
2026-07-13,2.374,2.374,2.293,2.328,17373.0
2026-07-14,2.288,2.442,2.288,2.393,33935.0
2026-07-15,2.392,2.392,2.296,2.358,32727.0
2026-07-16,2.319,2.351,2.315,2.315,14557.0
2026-07-17,2.321,2.321,2.298,2.318,2439.0
2026-07-20,2.299,2.359,2.298,2.315,9520.0
2026-07-21,2.338,2.39,2.338,2.38,33345.0
2026-07-22,2.388,2.39,2.387,2.39,7000.0
2026-07-23,2.375,2.414,2.375,2.403,19039.0
2026-07-24,2.39,2.403,2.384,2.389,25385.0
