date,open,high,low,close,volume
2025-07-01,133.210,139.300,133.210,137.600,28409810
2025-07-02,134.000,136.300,131.340,134.580,24650871
2025-07-03,137.470,142.780,136.900,142.680,35835882
2025-07-04,144.000,150.000,143.100,146.310,41482196
2025-07-07,144.540,148.200,138.500,144.230,37201641
2025-07-08,144.290,157.200,144.290,157.200,44936557
2025-07-09,156.000,157.000,151.700,152.700,38381064
2025-07-10,156.000,156.500,140.780,145.120,67512913
2025-07-11,145.010,146.940,140.110,145.050,44130925
2025-07-14,143.260,146.780,142.200,144.350,27579424
2025-07-15,148.020,165.560,148.020,164.060,63412093
2025-07-16,162.290,163.290,154.880,155.030,47469786
2025-07-17,155.380,170.320,155.030,169.870,51062946
2025-07-18,170.260,174.480,161.520,162.070,54223968
2025-07-21,161.620,162.900,155.260,157.840,41951950
2025-07-22,156.510,158.980,150.500,153.080,53014715
2025-07-23,151.130,156.300,148.490,153.170,33969022
2025-07-24,157.900,159.470,151.640,154.800,36162636
2025-07-25,154.360,158.320,153.500,155.530,22982643
2025-07-28,162.000,184.950,160.240,182.770,72349795
2025-07-29,183.010,189.600,182.000,189.250,45241163
2025-07-30,187.000,193.260,184.500,192.070,42453607
2025-07-31,197.830,200.000,190.640,192.080,55711896
2025-08-01,186.040,195.890,186.040,191.350,37670741
2025-08-04,187.620,189.500,183.580,188.530,32765956
2025-08-05,194.200,195.320,183.500,189.470,30616337
2025-08-06,188.530,201.990,188.000,197.650,34804920
2025-08-07,195.800,199.620,184.000,191.700,36380162
2025-08-08,188.130,194.640,188.060,192.370,18617738
2025-08-11,193.000,206.880,190.300,202.450,35101749
2025-08-12,203.990,217.600,202.550,216.880,37125255
2025-08-13,215.500,238.000,214.010,238.000,38719632
2025-08-14,232.000,237.340,225.300,225.690,33386813
2025-08-15,227.870,234.620,225.900,230.700,26378664
2025-08-18,231.000,245.000,222.000,231.770,42541832
2025-08-19,229.980,242.200,229.000,234.650,33448114
2025-08-20,223.970,226.800,216.180,224.500,38820547
2025-08-21,225.360,226.600,210.000,216.160,42769330
2025-08-22,217.000,224.990,214.350,220.100,40480910
2025-08-25,224.040,249.400,208.880,239.900,83783269
2025-08-26,233.000,233.970,220.500,220.900,63566941
2025-08-27,209.860,232.000,208.880,216.570,79807948
2025-08-28,216.120,259.870,212.000,259.000,99626809
2025-08-29,261.000,278.800,253.880,267.290,77347472
2025-09-01,272.970,279.500,257.550,270.370,71838300
2025-09-02,279.400,293.640,260.100,270.500,83594296
2025-09-03,269.200,277.770,260.000,270.310,56180793
2025-09-04,285.000,288.000,243.380,246.500,74540866
2025-09-05,256.000,295.800,249.030,295.800,87247427
2025-09-08,290.000,290.000,258.820,273.400,80679368
2025-09-09,261.000,267.350,247.670,259.500,62442523
2025-09-10,271.560,299.050,266.000,290.670,88625707
2025-09-11,300.260,345.880,290.430,338.000,92942534
2025-09-12,320.010,352.490,319.900,339.580,71811821
2025-09-15,337.010,339.000,320.800,329.560,49799360
2025-09-16,340.010,355.000,329.580,346.990,64463063
2025-09-17,341.100,350.990,318.000,333.870,64080471
2025-09-18,323.330,339.390,318.130,323.500,57527923
2025-09-19,327.500,329.120,316.280,318.020,39143121
2025-09-22,318.000,320.900,305.150,315.360,42563942
2025-09-23,333.000,335.930,300.000,314.000,65007877
2025-09-24,304.000,309.330,298.000,307.420,43589825
2025-09-25,302.220,308.000,287.980,299.400,55867300
2025-09-26,299.430,307.710,285.300,285.400,48500672
2025-09-29,283.070,294.880,280.200,290.800,39954882
2025-09-30,292.000,293.700,275.520,285.500,49527849
2025-10-09,289.100,295.950,284.000,285.460,41111855
2025-10-10,280.000,284.380,264.000,266.140,51204429
2025-10-13,249.000,266.640,249.000,258.360,42230305
2025-10-14,265.970,268.400,249.330,251.130,44468501
2025-10-15,254.000,271.190,246.060,266.900,55809540
2025-10-16,262.000,269.920,262.000,267.030,33395733
