date,nav,change_pct,bonus,split
2026-04-01,1.8007,1.86,0.0,1.0
2026-04-02,1.7615,-2.18,0.0,1.0
2026-04-03,1.7495,-0.68,0.0,1.0
2026-04-07,1.7553,0.33,0.0,1.0
2026-04-08,1.8536,5.6,0.0,1.0
2026-04-09,1.8408,-0.69,0.0,1.0
2026-04-10,1.9076,3.63,0.0,1.0
2026-04-13,1.9223,0.77,0.0,1.0
2026-04-14,1.9672,2.34,0.0,1.0
2026-04-15,1.9449,-1.13,0.0,1.0
2026-04-16,2.0043,3.05,0.0,1.0
2026-04-17,2.0324,1.4,0.0,1.0
2026-04-20,2.032,-0.02,0.0,1.0
2026-04-21,2.0382,0.31,0.0,1.0
2026-04-22,2.0775,1.93,0.0,1.0
2026-04-23,2.0605,-0.82,0.0,1.0
2026-04-24,2.033,-1.33,0.0,1.0
2026-04-27,2.023,-0.49,0.0,1.0
2026-04-28,1.9956,-1.35,0.0,1.0
2026-04-29,2.0432,2.39,0.0,1.0
2026-04-30,2.0393,-0.19,0.0,1.0
2026-05-06,2.0919,2.58,0.0,1.0
2026-05-07,2.1207,1.38,0.0,1.0
2026-05-08,2.1015,-0.91,0.0,1.0
2026-05-11,2.1713,3.32,0.0,1.0
2026-05-12,2.1748,0.16,0.0,1.0
2026-05-13,2.2289,2.49,0.0,1.0
2026-05-14,2.1833,-2.05,0.0,1.0
2026-05-15,2.1724,-0.5,0.0,1.0
2026-05-18,2.1656,-0.31,0.0,1.0
2026-05-19,2.1625,-0.14,0.0,1.0
2026-05-20,2.1692,0.31,0.0,1.0
2026-05-21,2.1219,-2.18,0.0,1.0
2026-05-22,2.1768,2.59,0.0,1.0
2026-05-25,2.2189,1.93,0.0,1.0
2026-05-26,2.2304,0.52,0.0,1.0
2026-05-27,2.2322,0.08,0.0,1.0
2026-05-28,2.2733,1.84,0.0,1.0
2026-05-29,2.2273,-2.02,0.0,1.0
2026-06-01,2.1819,-2.04,0.0,1.0
2026-06-02,2.239,2.62,0.0,1.0
2026-06-03,2.2762,1.66,0.0,1.0
2026-06-04,2.2584,-0.78,0.0,1.0
2026-06-05,2.1898,-3.04,0.0,1.0
2026-06-08,2.1128,-3.52,0.0,1.0
2026-06-09,2.193,3.8,0.0,1.0
2026-06-10,2.1373,-2.54,0.0,1.0
2026-06-11,2.1148,-1.05,0.0,1.0
2026-06-12,2.1236,0.42,0.0,1.0
2026-06-15,2.2304,5.03,0.0,1.0
2026-06-16,2.2673,1.65,0.0,1.0
2026-06-17,2.3015,1.51,0.0,1.0
2026-06-18,2.3467,1.96,0.0,1.0
2026-06-22,2.404,2.44,0.0,1.0
2026-06-23,2.3146,-3.72,0.0,1.0
2026-06-24,2.3454,1.33,0.0,1.0
2026-06-25,2.4078,2.66,0.0,1.0
2026-06-26,2.3158,-3.82,0.0,1.0
2026-06-29,2.3273,0.5,0.0,1.0
2026-06-30,2.392,2.78,0.0,1.0
2026-07-01,2.3493,-1.79,0.0,1.0
2026-07-02,2.2236,-5.35,0.0,1.0
2026-07-03,2.2247,0.05,0.0,1.0
2026-07-06,2.1875,-1.67,0.0,1.0
2026-07-07,2.1679,-0.9,0.0,1.0
2026-07-08,2.1334,-1.59,0.0,1.0
2026-07-09,2.2228,4.19,0.0,1.0
2026-07-10,2.1318,-4.09,0.0,1.0
2026-07-13,2.068,-2.99,0.0,1.0
2026-07-14,2.1343,3.21,0.0,1.0
