date,nav,acc_nav,change_pct
2026-06-24,1.0560,0.6370,-1.77
2026-06-25,1.0900,0.6490,3.22
2026-06-26,1.0520,0.6360,-3.49
2026-06-29,1.0660,0.6410,1.33
2026-06-30,1.0670,0.6410,0.09
2026-07-01,1.1140,0.6570,4.40
2026-07-02,1.0890,0.6490,-2.24
2026-07-03,1.0950,0.6510,0.55
2026-07-06,1.1000,0.6530,0.46
2026-07-07,1.0690,0.6420,-2.82
2026-07-08,1.0560,0.6370,-1.22
2026-07-09,1.0770,0.6450,1.99
2026-07-10,1.0560,0.6370,-1.95
2026-07-13,1.0460,0.6340,-0.95
2026-07-14,1.0500,0.6350,0.38
2026-07-15,1.0740,0.6430,2.29
2026-07-16,1.0580,0.6380,-1.49
2026-07-17,1.0430,0.6330,-1.42
2026-07-20,1.0640,0.6400,2.01
2026-07-21,1.0660,0.6410,0.19
2026-07-22,1.0600,0.6390,-0.56
2026-07-23,1.0720,0.6430,1.13
