date,open,high,low,close,volume,amount
2025-03-11,24.69,24.88,24.43,24.59,9509006.0,0.0
2025-03-12,24.65,24.68,24.34,24.37,11421005.0,0.0
2025-03-13,24.37,24.43,24.01,24.16,10108853.0,0.0
2025-03-14,24.13,24.64,23.99,24.64,12326099.0,0.0
2025-03-17,24.76,24.81,24.46,24.68,10718027.0,0.0
2025-03-18,24.82,25.04,24.62,24.9,11191480.0,0.0
2025-03-19,24.81,24.99,24.71,24.82,8028598.0,0.0
2025-03-20,24.78,25.08,24.67,24.8,8671478.0,0.0
2025-03-21,24.77,24.99,24.28,24.36,12479919.0,0.0
2025-03-24,24.27,24.44,23.79,24.19,11769949.0,0.0
2025-03-25,24.12,24.47,24.07,24.4,7131592.0,0.0
2025-03-26,24.41,24.63,24.35,24.44,6273597.0,0.0
2025-03-27,24.45,24.79,24.19,24.74,8154271.0,0.0
2025-03-28,24.68,24.95,24.49,24.5,7260333.0,0.0
2025-03-31,24.49,24.49,23.76,23.89,9810832.0,0.0
2025-04-01,24.07,24.94,24.01,24.69,13162031.0,0.0
2025-04-02,24.59,24.94,24.54,24.71,8413501.0,0.0
2025-04-03,24.49,24.75,24.0,24.18,11526274.0,0.0
2025-04-07,22.69,22.85,20.03,20.71,22934890.0,0.0
2025-04-08,20.99,21.62,20.61,20.93,14069789.0,0.0
2025-04-09,20.62,21.38,19.78,21.26,12676062.0,0.0
2025-04-10,22.0,22.27,21.71,21.74,12291012.0,0.0
2025-04-11,21.51,21.95,21.5,21.78,6737688.0,0.0
2025-04-14,21.87,22.14,21.72,21.8,8451520.0,0.0
2025-04-15,21.75,21.86,21.5,21.86,5683300.0,0.0
2025-04-16,21.71,21.78,21.35,21.55,5828086.0,0.0
2025-04-17,21.45,21.73,21.41,21.55,5826520.0,0.0
2025-04-18,21.45,21.65,21.43,21.59,3915060.0,0.0
2025-04-21,21.55,21.93,21.46,21.87,6167500.0,0.0
2025-04-22,21.87,22.06,21.79,21.94,6659360.0,0.0
2025-04-23,22.02,22.54,22.01,22.48,10910065.0,0.0
2025-04-24,22.6,22.67,22.19,22.36,10092531.0,0.0
2025-04-25,22.45,22.54,22.21,22.38,7218167.0,0.0
2025-04-28,22.38,22.43,22.05,22.18,5808940.0,0.0
2025-04-29,22.36,22.55,22.23,22.36,7890517.0,0.0
2025-04-30,22.46,22.56,22.23,22.24,9465545.0,0.0
2025-05-06,22.3,22.56,22.25,22.55,8953372.0,0.0
2025-05-07,22.71,23.21,22.7,22.89,12422238.0,0.0
2025-05-08,22.76,22.94,22.7,22.89,7466086.0,0.0
2025-05-09,22.87,23.11,22.65,22.76,7248570.0,0.0
2025-05-12,23.06,23.25,22.96,23.2,9761981.0,0.0
2025-05-13,23.45,23.46,23.1,23.18,7581021.0,0.0
2025-05-14,23.1,23.32,22.89,23.23,7452740.0,0.0
2025-05-15,23.15,23.18,22.84,22.85,5956020.0,0.0
2025-05-16,22.84,23.27,22.8,23.12,6855760.0,0.0
2025-05-19,23.12,23.17,22.75,22.91,6851756.0,0.0
2025-05-20,22.9,23.22,22.88,23.04,7549795.0,0.0
2025-05-21,23.0,23.2,22.9,22.99,6205018.0,0.0
2025-05-22,22.91,23.03,22.63,22.69,5412459.0,0.0
2025-05-23,22.68,23.05,22.66,22.69,6278566.0,0.0
2025-05-26,22.7,22.78,22.43,22.53,5479760.0,0.0
2025-05-27,22.55,22.62,22.43,22.6,4176395.0,0.0
2025-05-28,22.6,22.75,22.32,22.4,4678754.0,0.0
2025-05-29,22.32,22.77,22.32,22.7,6213626.0,0.0
2025-05-30,23.13,24.5,23.13,23.71,31133829.0,0.0
2025-06-03,23.49,23.88,23.48,23.63,13973070.0,0.0
2025-06-04,23.6,23.66,23.33,23.5,9371104.0,0.0
2025-06-05,23.5,23.6,23.2,23.26,8931623.0,0.0
2025-06-06,23.25,23.33,23.16,23.24,6253106.0,0.0
2025-06-09,23.26,23.45,23.19,23.35,9497401.0,0.0
2025-06-10,23.35,23.49,22.82,23.05,11513701.0,0.0
2025-06-11,23.03,23.36,23.03,23.16,8339703.0,0.0
2025-06-12,23.17,23.35,23.0,23.33,7525723.0,0.0
2025-06-13,23.2,23.4,22.74,22.88,10323045.0,0.0
2025-06-16,22.78,23.09,22.7,22.94,7950974.0,0.0
2025-06-17,23.04,23.97,23.04,23.63,18632695.0,0.0
2025-06-18,23.52,23.52,23.25,23.37,8293553.0,0.0
2025-06-19,23.31,23.76,23.25,23.43,10265465.0,0.0
2025-06-20,23.44,23.83,23.19,23.32,7200194.0,0.0
2025-06-23,23.19,23.54,23.06,23.52,7860564.0,0.0
2025-06-24,23.5,23.75,23.42,23.7,9072748.0,0.0
2025-06-25,23.7,23.83,23.51,23.83,9231047.0,0.0
2025-06-26,23.78,23.9,23.5,23.52,8777208.0,0.0
2025-06-27,23.54,23.68,23.49,23.54,7157577.0,0.0
2025-06-30,23.54,23.77,23.46,23.68,7902140.0,0.0
2025-07-01,23.64,24.42,23.61,24.37,14339681.0,0.0
2025-07-02,24.26,25.8,24.12,25.28,36253568.0,0.0
2025-07-03,25.44,25.7,25.22,25.49,20094126.0,0.0
2025-07-04,25.45,26.15,25.38,25.6,19268844.0,0.0
2025-07-07,25.52,26.28,25.42,25.46,15839890.0,0.0
2025-07-08,25.4,25.45,25.08,25.37,14012512.0,0.0
2025-07-09,25.33,27.37,25.26,26.76,33913430.0,0.0
2025-07-10,26.75,27.19,26.56,26.88,17391803.0,0.0
2025-07-11,26.73,27.62,26.5,26.78,16870711.0,0.0
2025-07-14,26.6,27.36,26.4,27.23,16107174.0,0.0
2025-07-15,27.23,28.57,27.08,28.32,32386471.0,0.0
2025-07-16,28.15,31.15,28.01,29.77,51941109.0,0.0
2025-07-17,29.64,30.0,29.25,29.71,24149875.0,0.0
2025-07-18,30.16,30.3,29.23,29.78,23666668.0,0.0
2025-07-21,29.81,30.61,29.33,30.34,24523823.0,0.0
2025-07-22,30.25,31.77,30.1,31.71,33960736.0,0.0
2025-07-23,31.56,32.26,30.82,30.83,28734239.0,0.0
2025-07-24,30.79,30.99,29.84,30.31,28031551.0,0.0
2025-07-25,30.19,31.69,30.16,31.34,25570142.0,0.0
2025-07-28,31.09,33.05,31.03,32.2,26036129.0,0.0
2025-07-29,32.1,32.68,31.73,32.19,20418795.0,0.0
2025-07-30,32.1,35.33,31.75,33.96,33735652.0,0.0
2025-07-31,33.7,35.67,33.28,34.35,34723790.0,0.0
2025-08-01,34.0,40.0,33.9,37.28,44751077.0,0.0
2025-08-04,36.6,39.18,35.35,38.8,39051080.0,0.0
2025-08-05,38.59,39.35,37.2,37.7,31318398.0,0.0
2025-08-06,37.3,38.43,37.16,37.84,20737321.0,0.0
2025-08-07,37.5,40.87,37.3,38.42,29795014.0,0.0
2025-08-08,38.12,38.4,36.68,37.58,23244659.0,0.0
2025-08-11,37.04,37.71,36.0,36.54,29656722.0,0.0
2025-08-12,36.55,37.51,36.21,36.32,23962699.0,0.0
2025-08-13,36.5,37.07,35.7,36.63,23483896.0,0.0
2025-08-14,36.79,37.0,35.64,35.66,15888593.0,0.0
2025-08-15,35.66,38.54,35.66,37.73,27021039.0,0.0
2025-08-18,37.89,38.18,37.29,37.71,18724538.0,0.0
2025-08-19,38.2,38.68,36.77,37.07,24615690.0,0.0
