date,nav,change_pct,ljjz
2026-07-17,2.655,-5.82,3.773
2026-07-16,2.819,-3.13,3.969
2026-07-15,2.91,-1.59,4.078
2026-07-14,2.957,2.67,4.134
2026-07-13,2.88,-4.95,4.042
2026-07-10,3.03,-2.38,4.221
2026-07-09,3.104,1.97,4.309
2026-07-08,3.044,-2.09,4.238
2026-07-07,3.109,-1.74,4.315
2026-07-06,3.164,-2.32,4.381
2026-07-03,3.239,-0.55,4.47
2026-07-02,3.257,-4.46,4.492
2026-07-01,3.409,-1.98,4.673
2026-06-30,3.478,3.08,4.756
2026-06-29,3.374,0.54,4.632
2026-06-26,3.356,-2.67,4.61
2026-06-25,3.448,-0.2,4.72
2026-06-24,3.455,1.89,4.728
2026-06-23,3.391,-2.81,4.652
2026-06-22,3.489,1.72,4.769
2026-06-18,3.43,0.76,4.698
2026-06-17,3.404,0.56,4.667
2026-06-16,3.385,2.02,4.645
2026-06-15,3.318,2.79,4.565
2026-06-12,3.228,-0.25,4.457
2026-06-11,3.236,1.16,4.467
2026-06-10,3.199,-1.9,4.423
2026-06-09,3.261,3.43,4.497
2026-06-08,3.153,-3.31,4.368
2026-06-05,3.261,-2.45,4.497
2026-06-04,3.343,-0.21,4.594
2026-06-03,3.35,1.58,4.603
2026-06-02,3.298,0.73,4.541
2026-06-01,3.274,-3.02,4.512
2026-05-29,3.376,-2.37,4.634
2026-05-28,3.458,2.01,4.732
2026-05-27,3.39,-1.37,4.651
2026-05-26,3.437,-1.04,4.707
2026-05-25,3.473,-0.74,4.75
2026-05-22,3.499,2.01,4.781
2026-05-21,3.43,-2.78,4.698
2026-05-20,3.528,1.53,4.815
2026-05-19,3.475,-0.23,4.752
2026-05-18,3.483,-0.4,4.762
2026-05-15,3.497,-1.07,4.778
2026-05-14,3.535,-1.09,4.824
2026-05-13,3.574,0.62,4.87
2026-05-12,3.552,-1.33,4.844
2026-05-11,3.6,1.78,4.901
2026-05-08,3.537,-0.08,4.826
2026-05-07,3.54,1.0,4.83
2026-05-06,3.505,1.33,4.788
2026-04-30,3.459,0.12,4.733
2026-04-29,3.455,2.67,4.728
2026-04-28,3.365,-1.95,4.621
2026-04-27,3.432,0.23,4.701
2026-04-24,3.424,2.42,4.691
2026-04-23,3.343,-0.92,4.594
2026-04-22,3.374,2.03,4.632
2026-04-21,3.307,0.06,4.552
2026-04-20,3.305,-0.33,4.549
2026-04-17,3.316,0.58,4.562
2026-04-16,3.297,2.65,4.54
2026-04-15,3.212,-1.29,4.438
2026-04-14,3.254,1.59,4.488
2026-04-13,3.203,1.46,4.427
2026-04-10,3.157,-0.41,4.372
2026-04-09,3.17,0.38,4.388
2026-04-08,3.158,1.22,4.374
2026-04-07,3.12,2.09,4.328
2026-04-03,3.056,-0.52,4.252
2026-04-02,3.072,-0.65,4.271
2026-04-01,3.092,0.85,4.295
2026-03-31,3.066,-2.6,4.264
2026-03-30,3.148,0.77,4.362
2026-03-27,3.124,1.63,4.333
2026-03-26,3.074,-0.74,4.273
2026-03-25,3.097,1.47,4.301
2026-03-24,3.052,2.59,4.247
2026-03-23,2.975,-1.42,4.155
2026-03-20,3.018,0.03,4.206
2026-03-19,3.017,-3.21,4.205
2026-03-18,3.117,-1.49,4.325
2026-03-17,3.164,-2.35,4.381
2026-03-16,3.24,-1.28,4.472
2026-03-13,3.282,-2.29,4.522
2026-03-12,3.359,0.99,4.614
2026-03-11,3.326,0.73,4.574
2026-03-10,3.302,1.29,4.546
2026-03-09,3.26,-1.42,4.495
2026-03-06,3.307,-0.87,4.552
2026-03-05,3.336,-0.15,4.586
2026-03-04,3.341,1.27,4.592
2026-03-03,3.299,-3.11,4.542
2026-03-02,3.405,2.01,4.669
2026-02-27,3.338,1.43,4.589
2026-02-26,3.291,0.03,4.532
2026-02-25,3.29,3.62,4.531
2026-02-24,3.175,2.29,4.394
2026-02-13,3.104,-2.33,4.309
2026-02-12,3.178,0.95,4.398
2026-02-11,3.148,2.64,4.362
2026-02-10,3.067,0.16,4.265
2026-02-09,3.062,2.41,4.259
2026-02-06,2.99,-0.8,4.173
2026-02-05,3.014,-1.57,4.202
2026-02-04,3.062,-1.83,4.259
2026-02-03,3.119,2.4,4.327
2026-02-02,3.046,-4.57,4.24
2026-01-30,3.192,-0.5,4.414
2026-01-29,3.208,-0.83,4.433
2026-01-28,3.235,1.09,4.466
2026-01-27,3.2,-0.62,4.424
2026-01-26,3.22,-0.34,4.448
2026-01-23,3.231,2.28,4.461
2026-01-22,3.159,0.7,4.375
2026-01-21,3.137,1.75,4.349
2026-01-20,3.083,-1.19,4.284
2026-01-19,3.12,1.86,4.328
2026-01-16,3.063,-0.29,4.26
2026-01-15,3.072,0.0,4.271
2026-01-14,3.072,0.72,4.271
2026-01-13,3.05,0.79,4.245
2026-01-12,3.026,2.26,4.216
2026-01-09,2.959,2.56,4.136
2026-01-08,2.885,-0.38,4.048
2026-01-07,2.896,0.45,4.061
2026-01-06,2.883,0.7,4.045
2026-01-05,2.863,2.8,4.021
