date,t1_date,t1_nav,official_nav,official_pct,v_active_top10,v_active_top10_est_pct,v_active_bench_csi300,v_active_bench_csi300_est_pct,v_active_bench_csi500,v_active_bench_csi500_est_pct,v_active_bench_csi1000,v_active_bench_csi1000_est_pct,v_active_bench_cyb,v_active_bench_cyb_est_pct,v_active_top10_blend_csi1000_a0.3,v_active_top10_blend_est_pct,v_active_alpha,v_active_top10_resid_csi1000,v_active_top10_resid_cyb,v_active_top10_resid_csi500
2026-04-27,2026-04-24,3.424,3.432,0.002336448598130843,"(3.404527959585522, None)",-0.005686927691144287,"(3.4251328693586096, -0.20009121915472985)",0.0003308613780985345,"(3.4452438150137077, 0.3858920458539554)",0.006204385225966138,"(3.438260239559998, 0.1824079125873606)",0.004164789591120978,"(3.406265664972184, -0.7498349367079277)",-0.0051794202768155285,"(3.4049326651842344, -0.7886752568696244)",-0.005568730962548274,"(3.405876978247898, -0.76116030746218)","(3.405876978247898, -0.76116030746218)","(3.40285029149189, -0.8493504810055311)","(3.4065376244858183, -0.7419107084551755)"
2026-04-28,2026-04-27,3.432,3.365,-0.019522144522144444,"(3.4332366410293855, None)",0.0003603266402639337,"(3.422836148881972, 1.7187562817822177)",-0.002670119789635158,"(3.3926771792768053, 0.8225016129808358)",-0.011457698345919098,"(3.385889756300902, 0.6207951352422538)",-0.013435385693210386,"(3.3830180279040603, 0.5354540238948006)",-0.014272136391590858,"(3.431928032313205, 1.988945982561809)",-2.09696057093771e-05,"(3.428874611975451, 1.8982054078885873)","(3.428874611975451, 1.8982054078885873)","(3.42860294646911, 1.890132138755117)","(3.429516702188972, 1.9172868406826642)"
2026-04-29,2026-04-28,3.365,3.455,0.026745913818722097,"(3.4997429739014647, None)",0.04004248852940984,"(3.4018726493251243, -1.5376946649746954)",0.010957696679085934,"(3.4217922330445023, -0.9611509972647689)",0.016877335228678094,"(3.412600559860513, -1.2271907420980361)",0.014145783019468994,"(3.4496285273883482, -0.15546954013464048)",0.025149636668156953,"(3.501093877790306, 1.3341209201246227)",0.04044394585150237,"(3.504245986864269, 1.4253541784158887)","(3.504245986864269, 1.4253541784158887)","(3.507748832592402, 1.5267390041216187)","(3.5051155191474748, 1.4505215382771257)"
2026-04-30,2026-04-29,3.455,3.459,0.0011577424023154858,"(3.5190990217653457, None)",0.01855253886117099,"(3.452816540054179, -0.17876438120326785)",-0.0006319710407585906,"(3.4579346549479273, -0.030799220933009127)",0.0008493936173450984,"(3.4711016736654936, 0.3498604702368756)",0.00466039758769704,"(3.445610924156426, -0.38707938258381563)",-0.0027175328056654813,"(3.5195559872639723, 1.7506790189063968)",0.018684800944709833,"(3.5206222400941014, 1.7815044837843692)","(3.5206222400941014, 1.7815044837843692)","(3.5182108151905434, 1.7117899737075246)","(3.51937664012342, 1.7454940769997054)"
2026-05-06,2026-04-30,3.459,3.505,0.013298641225787748,"(3.5421974162139227, None)",0.024052447590032507,"(3.509213097270468, 0.12020248988496854)",0.014516651422511618,"(3.557983771019802, 1.511662511263966)",0.028616296912345098,"(3.538484459994796, 0.9553340940027419)",0.02297902861948428,"(3.55401848960118, 1.398530373785457)",0.02746993050048569,"(3.544453185188575, 1.1256258256369502)",0.02470459242225347,"(3.5497166461294305, 1.2757958952761943)","(3.5497166461294305, 1.2757958952761943)","(3.551186165330194, 1.3177222633436245)","(3.551561280952396, 1.3284245635491039)"
2026-05-07,2026-05-06,3.505,3.54,0.009985734664764663,"(3.5679739870150478, None)",0.017966900717560068,"(3.5218289973145893, -0.5133051606048226)",0.004801425767357804,"(3.549222035084369, 0.26050946566014205)",0.012616843105383559,"(3.562208649637369, 0.6273629841064632)",0.016322011308807092,"(3.555928902145198, 0.44996898715248085)",0.014530357245420239,"(3.5695975684917562, 0.8360895054168421)",0.018430119398504013,"(3.573385925270743, 0.9431052336368116)","(3.573385925270743, 0.9431052336368116)","(3.5727918611579836, 0.9263237615249605)","(3.5721573915340294, 0.9084008907917912)"
2026-05-08,2026-05-07,3.54,3.537,-0.0008474576271186761,"(3.5655842559862556, None)",0.007227190956569282,"(3.519341554246395, -0.49924924381128327)",-0.0058357191394364984,"(3.5389302822797215, 0.05457399716487375)",-0.0003021801469713869,"(3.5508220817923215, 0.39078546203906095)",0.003057085252068059,"(3.505894412736362, -0.8794341889634685)",-0.00963434668464352,"(3.5658913866675213, 0.8168330977529358)",0.007313951036022974,"(3.566608024923809, 0.8370942867913168)","(3.566608024923809, 0.8370942867913168)","(3.562357867431115, 0.7169315078064747)","(3.5654830606899166, 0.8052886822142122)"
2026-05-11,2026-05-08,3.537,3.6,0.017811704834605646,"(3.6650858769844312, None)",0.03621314022743323,"(3.5950254169205027, -0.13818286331937182)",0.01640526347766548,"(3.5962218196536506, -0.10494945406526303)",0.016743517006969372,"(3.5878338359559288, -0.3379490012242038)",0.014372020343774019,"(3.660777781465746, 1.6882717073818263)",0.034995131881748985,"(3.6665285412488604, 1.8480150346905644)",0.036621018164789534,"(3.669894757865862, 1.941521051829493)","(3.669894757865862, 1.941521051829493)","(3.6767952551110907, 2.1332015308636287)","(3.6706882611236664, 1.9635628089907313)"
2026-05-12,2026-05-11,3.6,3.552,-0.013333333333333345,"(3.6047183893062775, None)",0.0013106636961880483,"(3.5972446589013325, 1.2737798114113863)",-0.0007653725274076818,"(3.578104926591749, 0.734935996389324)",-0.006081964835625387,"(3.5817734038482296, 0.8382151984298866)",-0.005062943375491802,"(3.6054133216458037, 1.503753424712942)",0.0015037004571676733,"(3.6042011185074894, 1.4696260841072444)",0.001166977363191591,"(3.6029941533103194, 1.4356462080607915)","(3.6029941533103194, 1.4356462080607915)","(3.60523048953397, 1.498606124267171)","(3.6026471153618562, 1.4258759955477527)"
2026-05-13,2026-05-12,3.552,3.574,0.0061936936936936365,"(3.594911373756093, None)",0.01208090477367485,"(3.588104717679521, 0.3946479485036727)",0.010164616463829077,"(3.6054701391842614, 0.8805299156200772)",0.015053530175749365,"(3.6057759234503903, 0.8890857148962085)",0.015139618088510937,"(3.645384744955503, 1.997334777714135)",0.02629075026900426,"(3.596437534463615, 0.6277989497374142)",0.01251056713502679,"(3.5999985761145004, 0.727436377014564)","(3.5999985761145004, 0.727436377014564)","(3.603745570628884, 0.8322767383571427)","(3.599969648922924, 0.7266269984030272)"
