基金代码,基金名称,场内价格,场内涨幅(%),估算净值,估算涨幅(%),溢价率(%),套利信号,状态
009663,华泰紫金创新先锋混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,T-1:1.3201 v_active_top10_blend
025988,鹏华创新未来混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,T-1:1.1720 v_active_top10_blend
160105,南方积极配置混合(LOF),1.2440,-3.12%,1.2655,0.12%,-1.70,折价买入(转场内赎回),T-1:1.2640 v_active_top10_blend
160106,南方高增长混合(LOF),1.4980,-0.66%,1.5241,0.12%,-1.71,折价买入(转场内赎回),T-1:1.5223 v_active_top10_blend
160119,南方中证500ETF联接(LOF)A,2.1550,-1.51%,2.1337,-2.61%,1.00,无明显机会,T-1:2.1908 v_index_full_no_cash
160120,南方中证500ETF联接(LOF)A(后端),,,,,,,异常: 'NoneTyp
160127,南方新兴消费增长股票(LOF)A,0.8490,-0.12%,0.8512,0.12%,-0.25,无明显机会,T-1:0.8501 v_active_top10_blend
160133,南方天元新产业股票(LOF),4.2250,-0.94%,4.3047,0.13%,-1.85,折价买入(转场内赎回),T-1:4.2991 v_active_top10_blend
160135,南方中证高铁产业指数(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
160137,南方中证互联网指数(LOF)A,1.0000,0.00%,1.8345,0.31%,-45.49,折价买入(转场内赎回),T-1:1.8289 v_index_full_no_cash
160142,南方优势产业(LOF),1.0620,-1.67%,1.0843,0.12%,-2.06,折价买入(转场内赎回),T-1:1.0830 v_active_top10_blend
160211,国泰中小盘成长混合(LOF),2.7040,-0.55%,2.7065,0.09%,-0.09,无明显机会,T-1:2.7040 v_active_top10_blend
160212,国泰估值优势混合(LOF)A,3.4530,-2.29%,3.5399,0.06%,-2.45,折价买入(转场内赎回),T-1:3.5378 v_active_top10_blend
160215,国泰价值经典混合(LOF),3.6180,-2.00%,3.6842,0.09%,-1.80,折价买入(转场内赎回),T-1:3.6810 v_active_top10_blend
160220,国泰民益混合(LOF)A,4.5350,-1.82%,4.6630,0.09%,-2.75,折价买入(转场内赎回),T-1:4.6590 v_active_top10_blend
160221,国泰国证有色金属行业指数(LOF)A,2.1100,-3.70%,2.1502,-2.24%,-1.87,折价买入(转场内赎回),T-1:2.1994 v_index_full_no_cash
160222,国泰国证食品饮料行业(LOF)A,0.6500,-1.52%,0.6673,0.08%,-2.60,折价买入(转场内赎回),T-1:0.6668 v_active_top10_blend
160223,国泰创业板指数(LOF)A,1.9500,-2.11%,1.9364,-2.65%,0.70,无明显机会,T-1:1.9891 v_index_full_no_cash
160311,华夏蓝筹混合(LOF)A,1.4180,-2.48%,1.4470,0.07%,-2.00,折价买入(转场内赎回),T-1:1.4460 v_active_top10_blend
160314,华夏行业混合(LOF),1.2580,-1.10%,1.2979,0.15%,-3.07,折价买入(转场内赎回),T-1:1.2960 v_active_top10_blend
160322,华夏港股通精选股票发起式(LOF)A,1.0700,-1.56%,1.0909,0.51%,-1.91,折价买入(转场内赎回),T-1:1.0853 v_active_bench_csi1000
160323,华夏磐泰混合(LOF)A,1.7250,0.00%,1.7295,0.00%,-0.26,无明显机会,T-1:1.7295 v_active_top10
160324,华夏磐晟混合(LOF),3.0130,-0.76%,3.0657,0.03%,-1.72,折价买入(转场内赎回),T-1:3.0647 v_active_top10_blend
160416,华安标普全球石油指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
160505,博时主题行业混合(LOF),1.0650,-1.02%,1.0899,0.09%,-2.29,折价买入(转场内赎回),T-1:1.0890 v_active_top10_blend
160512,博时卓越品牌混合(LOF)A,2.8710,-3.98%,2.9720,0.07%,-3.40,折价买入(转场内赎回),T-1:2.9700 v_active_top10_blend
160527,博时研究优选混合(LOF)A,0.8490,-0.12%,0.8571,0.05%,-0.95,无明显机会,T-1:0.8567 v_active_top10_blend
160607,鹏华价值优势混合(LOF),0.8620,-1.37%,0.8650,0.12%,-0.35,无明显机会,T-1:0.8640 v_active_top10_blend
160610,鹏华动力增长混合(LOF),1.2000,-0.25%,1.2042,0.10%,-0.35,无明显机会,T-1:1.2030 v_active_top10_blend
160611,鹏华优质治理混合(LOF)A,1.2460,-1.97%,1.2756,0.07%,-2.32,折价买入(转场内赎回),T-1:1.2747 v_active_top10_blend
160613,鹏华盛世创新混合(LOF)A,1.1820,-0.25%,1.1952,0.10%,-1.10,折价买入(转场内赎回),T-1:1.1940 v_active_top10_blend
160615,鹏华沪深300ETF联接(LOF)A,1.4180,-0.14%,1.4106,-1.67%,0.53,无明显机会,T-1:1.4345 v_index_full_no_cash
160616,鹏华中证500指数(LOF)A,2.2370,-1.80%,2.2228,-2.61%,0.64,无明显机会,T-1:2.2823 v_index_full_no_cash
160620,鹏华中证A股资源产业指数(LOF)A,2.6610,-2.71%,2.6995,-2.32%,-1.43,折价买入(转场内赎回),T-1:2.7637 v_index_full_no_cash
160625,鹏华中证800证券保险指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
160626,鹏华中证信息技术指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
160628,鹏华中证800地产指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
160629,鹏华中证传媒指数(LOF)A,0.9590,-3.23%,0.9491,-3.02%,1.04,溢价卖出(申购转场内),T-1:0.9787 v_index_full_no_cash
160630,鹏华中证国防指数(LOF)A,0.9200,-2.02%,0.9124,-3.06%,0.84,无明显机会,T-1:0.9412 v_index_full_no_cash
160631,鹏华中证银行指数(LOF)A,1.3520,0.07%,1.3258,-2.25%,1.98,溢价卖出(申购转场内),T-1:1.3563 v_index_full_no_cash
160633,鹏华中证全指证券公司指数(LOF)A,1.0800,-2.09%,1.0878,-2.01%,-0.72,无明显机会,T-1:1.1102 v_index_full_no_cash
160634,鹏华中证环保产业指数(LOF)A,1.0000,0.00%,1.1747,-2.24%,-14.87,折价买入(转场内赎回),T-1:1.2017 v_index_full_no_cash
160635,鹏华中证医药指数(LOF)A,0.8740,-3.21%,0.8884,-1.81%,-1.62,折价买入(转场内赎回),T-1:0.9047 v_index_full_no_cash
160636,鹏华中证移动互联网指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
